,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.6333,147.9167,43.27,72,96,12.46,RU,1627344000
1,Kamsack,51.5667,-101.9009,84.88,23,16,7.9,CA,1627344000
2,Lorengau,-2.0226,147.2712,84.88,74,72,3.4,PG,1627344000
3,Longyearbyen,78.2186,15.6401,43.18,87,83,0.94,SJ,1627344000
4,Hindupur,13.8289,77.4933,72.12,82,93,9.42,IN,1627344000
5,Simao,22.7886,100.9748,65.46,99,40,0.65,CN,1627344000
6,Grindavik,63.8424,-22.4338,50.34,85,83,17.43,IS,1627344000
7,Ati,13.2154,18.3353,79.77,70,90,6.15,TD,1627344000
8,Vardø,70.3705,31.1107,46.42,86,58,7.58,NO,1627344000
9,Arcata,40.8665,-124.0828,67.35,74,34,5.77,US,1627344000
10,Ribeira Grande,38.5167,-28.7,70.93,88,12,10.11,PT,1627344000
11,Coolum Beach,-26.5333,153.1,65.79,64,0,2.89,AU,1627344000
12,Kruisfontein,-34.0033,24.7314,63.9,26,84,15.64,ZA,1627344000
13,Hilo,19.7297,-155.09,78.64,85,77,7.56,US,1627344000
14,Ponta do Sol,32.6667,-17.1,72.19,83,3,7.25,PT,1627344000
15,Pañgobilian,8.8011,117.8594,84.13,76,88,10.29,PH,1627344000
16,Kutina,45.475,16.7819,72.0,54,73,3.2,HR,1627344000
17,Saint-Philippe,-21.3585,55.7679,68.36,79,77,11.68,RE,1627344000
18,Gunjur,13.2019,-16.7339,80.4,81,58,13.09,GM,1627344000
19,Kapaa,22.0752,-159.319,81.91,72,28,13.22,US,1627344000
20,Wilmington,34.2257,-77.9447,84.36,76,29,8.41,US,1627344000
21,Mackenzie,55.2999,-123.1698,61.29,72,86,5.3,CA,1627344000
22,Acapulco de Juárez,16.8634,-99.8901,85.57,75,79,4.72,MX,1627344000
23,Chiang Klang,19.2938,100.8617,74.91,99,95,1.97,TH,1627344000
24,Cherskiy,68.75,161.3,53.8,55,5,18.39,RU,1627344000
25,Dikson,73.5069,80.5464,38.16,100,100,3.53,RU,1627344000
26,Port Elizabeth,-33.918,25.5701,64.31,29,53,9.75,ZA,1627344000
27,Rocha,-34.4833,-54.3333,47.37,84,15,7.07,UY,1627344000
28,Los Llanos de Aridane,28.6585,-17.9182,68.9,91,31,14.88,ES,1627344000
29,Villa María,-32.4075,-63.2402,55.81,41,8,12.41,AR,1627344000
30,Wanlaweyn,2.6185,44.8938,73.99,81,78,17.02,SO,1627344000
31,Bluff,-46.6,168.3333,49.78,77,35,20.38,NZ,1627344000
32,Puerto Ayora,-0.7393,-90.3518,72.77,81,40,10.67,EC,1627344000
33,Sokołów Podlaski,52.4068,22.2531,64.9,95,87,7.74,PL,1627344000
34,Saskylakh,71.9167,114.0833,54.63,74,52,7.09,RU,1627344000
35,New Norfolk,-42.7826,147.0587,54.39,84,100,4.76,AU,1627344000
36,Elizabeth City,36.2946,-76.2511,84.96,71,34,7.74,US,1627344000
37,São Filipe,14.8961,-24.4956,75.42,82,23,9.55,CV,1627344000
38,Waingapu,-9.6567,120.2641,77.85,79,81,7.02,ID,1627344000
39,Kalmunai,7.4167,81.8167,81.81,69,99,1.39,LK,1627344000
40,Lakes Entrance,-37.8811,147.981,59.81,54,82,6.82,AU,1627344000
41,Hobart,-42.8794,147.3294,54.46,87,83,5.7,AU,1627344000
42,Norman Wells,65.282,-126.8329,64.31,56,93,6.26,CA,1627344000
43,Punta Arenas,-53.15,-70.9167,42.49,78,33,10.47,CL,1627344000
44,Homer,59.6425,-151.5483,57.54,78,3,6.64,US,1627344000
45,Arraial do Cabo,-22.9661,-42.0278,71.17,80,0,27.22,BR,1627344000
46,Kuito,-12.3833,16.9333,52.23,39,71,3.74,AO,1627344000
47,Nikolskoye,59.7035,30.7861,64.49,69,13,3.56,RU,1627344000
48,Winnemucca,40.973,-117.7357,96.84,17,35,14.52,US,1627344000
49,Mataura,-46.1927,168.8643,47.05,92,51,3.91,NZ,1627344000
50,Ushuaia,-54.8,-68.3,34.52,85,60,3.36,AR,1627344000
51,São João da Barra,-21.6403,-41.0511,72.99,81,0,18.23,BR,1627344000
52,Basco,20.4487,121.9702,82.87,88,99,25.28,PH,1627344000
53,Albany,42.6001,-73.9662,78.98,55,0,7.65,US,1627344000
54,Andenes,69.3143,16.1194,51.4,94,73,14.0,NO,1627344000
55,East London,-33.0153,27.9116,65.44,26,96,11.99,ZA,1627344000
56,Hambantota,6.1241,81.1185,79.9,94,98,16.91,LK,1627344000
57,Catuday,16.2923,119.8062,81.73,82,95,19.98,PH,1627344000
58,Thompson,55.7435,-97.8558,76.08,26,15,6.26,CA,1627344000
59,Bridlington,54.0831,-0.1919,61.16,88,21,9.73,GB,1627344000
60,Eyl,7.9803,49.8164,79.05,62,71,21.5,SO,1627344000
61,Almeirim,-1.5233,-52.5817,82.81,59,96,2.71,BR,1627344000
62,Esperance,-33.8667,121.9,56.1,69,48,34.34,AU,1627344000
63,Yellowknife,62.456,-114.3525,67.3,59,76,12.71,CA,1627344000
64,Rikitea,-23.1203,-134.9692,74.64,77,91,18.23,PF,1627344000
65,Vaini,-21.2,-175.2,75.6,80,83,19.51,TO,1627344000
66,Dŭstí,37.3481,68.664,85.95,18,1,5.99,TJ,1627344000
67,Nishihara,26.1842,127.7558,81.75,93,93,10.89,JP,1627344000
68,Qaqortoq,60.7167,-46.0333,51.73,77,18,2.95,GL,1627344000
69,Bredasdorp,-34.5322,20.0403,54.03,56,90,4.85,ZA,1627344000
70,Laas,46.6166,10.7002,62.19,88,45,2.84,IT,1627344000
71,Zheleznodorozhnyy,55.7503,38.0042,66.4,57,97,1.57,RU,1627344000
72,Kieta,-6.2167,155.6333,85.28,77,41,4.65,PG,1627344000
73,Hualmay,-11.0964,-77.6139,66.33,79,27,10.29,PE,1627344000
74,Shubarshi,48.5872,57.1869,69.64,30,10,15.17,KZ,1627344000
75,Barrow,71.2906,-156.7887,45.5,95,93,6.2,US,1627344000
76,Hermanus,-34.4187,19.2345,56.07,64,38,7.02,ZA,1627344000
77,Chhāpar,27.8167,74.4,81.81,80,100,23.33,IN,1627344000
78,Esim,4.8699,-2.2405,76.55,75,91,11.12,GH,1627344000
79,Hong Kong,22.2855,114.1577,86.41,81,94,5.75,HK,1627344000
80,Altay,47.8667,88.1167,71.19,51,7,3.6,CN,1627344000
81,Tasiilaq,65.6145,-37.6368,45.72,87,48,4.25,GL,1627344000
82,Rosarito,32.3333,-117.0333,73.15,76,62,8.5,MX,1627344000
83,Gimli,50.6336,-96.9907,74.34,58,89,9.66,CA,1627344000
84,Tilichiki,60.4667,166.1,53.8,98,100,3.87,RU,1627344000
85,Katobu,-4.9408,122.5276,77.79,87,30,3.89,ID,1627344000
86,Itarema,-2.9248,-39.9167,79.5,79,27,18.32,BR,1627344000
87,Castro,-24.7911,-50.0119,59.83,63,4,4.54,BR,1627344000
88,Pimentel,-6.8367,-79.9342,68.72,82,31,15.99,PE,1627344000
89,Narāyangarh,30.4833,77.1333,81.59,73,100,4.32,IN,1627344000
90,Batagay,67.6333,134.6333,58.32,78,66,12.15,RU,1627344000
91,Kiryat Gat,31.61,34.7642,79.32,81,0,5.14,IL,1627344000
92,Carnarvon,-24.8667,113.6333,68.52,78,63,19.28,AU,1627344000
93,Athens,37.9795,23.7162,80.24,28,0,7.96,GR,1627344000
94,San Patricio,28.017,-97.5169,91.18,42,5,11.36,US,1627344000
95,Port Alfred,-33.5906,26.891,62.49,32,99,9.91,ZA,1627344000
96,Hithadhoo,-0.6,73.0833,80.31,79,96,7.92,MV,1627344000
97,Zyryanka,65.75,150.85,56.21,48,60,16.4,RU,1627344000
98,Ahipara,-35.1667,173.1667,58.86,73,18,16.67,NZ,1627344000
99,Agirish,61.9247,63.0231,50.27,93,44,4.38,RU,1627344000
100,Mandiana,10.6333,-8.6833,74.43,89,55,5.44,GN,1627344000
101,Talara,-4.5772,-81.2719,74.16,73,1,14.74,PE,1627344000
102,Waipawa,-41.4122,175.5153,49.15,76,69,12.08,NZ,1627344000
103,Zhigansk,66.7697,123.3711,57.58,71,16,16.87,RU,1627344000
104,Alice Springs,-23.7,133.8833,67.53,20,48,23.33,AU,1627344000
105,Merauke,-8.4667,140.3333,79.83,80,93,13.53,ID,1627344000
106,Klaksvík,62.2266,-6.589,53.56,99,100,5.7,FO,1627344000
107,Karratha,-20.7377,116.8463,69.89,70,42,7.23,AU,1627344000
108,Puro,12.4841,123.3827,83.98,78,93,20.69,PH,1627344000
109,Morondava,-20.2833,44.2833,67.53,64,40,10.51,MG,1627344000
110,Alihe,50.5667,123.7167,67.17,93,100,2.77,CN,1627344000
111,Cape Town,-33.9258,18.4232,58.17,56,2,10.58,ZA,1627344000
112,Shimanovsk,52.0,127.7,70.61,92,99,6.35,RU,1627344000
113,Aswān,24.0934,32.907,90.59,22,7,11.81,EG,1627344000
114,Upernavik,72.7868,-56.1549,45.34,75,100,3.91,GL,1627344000
115,Tiksi,71.6872,128.8694,39.04,88,80,10.07,RU,1627344000
116,Ushtobe,45.2514,77.9838,73.98,54,3,12.5,KZ,1627344000
117,Porto-Novo,6.4965,2.6036,77.59,77,28,10.74,BJ,1627344000
118,Dergachi,51.2328,48.7659,63.07,51,2,3.78,RU,1627344000
119,Souillac,-20.5167,57.5167,69.49,89,74,14.2,MU,1627344000
120,Yueyang,29.3333,113.0919,82.4,82,2,8.16,CN,1627344000
121,Ipixuna,-1.7625,-48.8043,81.9,78,67,4.29,BR,1627344000
122,Oxelösund,58.6706,17.1015,66.22,80,22,8.59,SE,1627344000
123,Jamestown,42.097,-79.2353,77.56,58,15,5.91,US,1627344000
124,Wewak,-3.5534,143.6268,81.52,85,65,8.14,PG,1627344000
125,Muros,42.7762,-9.0603,64.08,84,41,5.91,ES,1627344000
126,Severo-Kuril'sk,50.6789,156.125,60.76,90,100,7.43,RU,1627344000
127,Emet,39.343,29.2585,61.45,75,0,4.07,TR,1627344000
128,Balkhash,46.844,74.9804,70.7,45,0,18.88,KZ,1627344000
129,Bundaberg,-24.85,152.35,66.2,63,0,4.03,AU,1627344000
130,Tabory,58.5198,64.5495,51.28,77,67,5.5,RU,1627344000
131,Gouré,13.9835,10.2704,76.12,73,100,8.68,NE,1627344000
132,Dingle,10.9995,122.6711,83.14,83,100,13.87,PH,1627344000
133,Abéché,13.8292,20.8324,74.8,86,100,3.49,TD,1627344000
134,Pisco,-13.7,-76.2167,66.38,76,0,0.47,PE,1627344000
135,Qaanaaq,77.484,-69.3632,42.33,73,100,9.66,GL,1627344000
136,Torbay,47.6666,-52.7314,61.12,80,60,7.43,CA,1627344000
137,Aykhal,66.0,111.5,79.88,53,13,2.59,RU,1627344000
138,George Town,5.4112,100.3354,81.1,85,43,4.59,MY,1627344000
139,Aasiaat,68.7098,-52.8699,41.68,96,100,15.35,GL,1627344000
140,Albion,42.2431,-84.753,83.16,53,1,4.9,US,1627344000
141,Muncar,-8.4333,114.3333,75.31,85,43,0.56,ID,1627344000
142,Al Bardīyah,31.7561,25.0865,78.15,68,0,6.64,LY,1627344000
143,Khatanga,71.9667,102.5,63.19,66,43,17.74,RU,1627344000
144,Kavieng,-2.5744,150.7967,84.7,71,49,6.38,PG,1627344000
145,Vostok,46.4856,135.8833,81.95,80,85,2.19,RU,1627344000
146,Ngawen,-7.0032,111.3129,71.24,88,1,2.84,ID,1627344000
147,Lebu,-37.6167,-73.65,48.04,69,10,17.09,CL,1627344000
148,Hohhot,40.8106,111.6522,70.95,73,18,4.27,CN,1627344000
149,Caravelas,-17.7125,-39.2481,70.65,82,5,5.37,BR,1627344000
150,Maple Creek,49.9168,-109.4848,92.12,22,0,7.63,CA,1627344000
151,Idlib,35.9306,36.6339,75.54,64,0,7.83,SY,1627344000
152,Busselton,-33.65,115.3333,52.79,69,100,29.51,AU,1627344000
153,Muroto-misakicho,33.2833,134.15,80.22,77,75,5.55,JP,1627344000
154,Tuktoyaktuk,69.4541,-133.0374,47.7,77,91,10.71,CA,1627344000
155,Verāval,20.9,70.3667,81.46,87,100,17.56,IN,1627344000
156,Labuhan,-6.8844,112.2051,74.61,85,5,6.38,ID,1627344000
157,Kyshtovka,56.555,76.6271,50.47,83,9,6.4,RU,1627344000
158,Bom Jardim,-7.7958,-35.5872,72.64,89,19,3.33,BR,1627344000
159,Charqueadas,-29.9547,-51.6253,64.27,99,100,2.86,BR,1627344000
